iter	Passed	Remaining
1596	4200	8949
1597	4202	8946
1598	4205	8944
1599	4207	8941
1600	4210	8938
1601	4212	8935
1602	4214	8931
1603	4217	8929
1604	4220	8926
1605	4223	8924
1606	4225	8921
1607	4227	8918
1608	4230	8915
1609	4232	8911
1610	4234	8908
1611	4238	8907
1612	4241	8906
1613	4243	8903
1614	4246	8900
1615	4248	8896
1616	4250	8893
1617	4253	8891
1618	4268	8914
1619	4272	8913
1620	4274	8910
1621	4277	8908
1622	4279	8905
1623	4282	8901
1624	4284	8898
1625	4287	8896
1626	4289	8893
1627	4292	8889
1628	4294	8886
1629	4296	8883
1630	4299	8880
1631	4301	8877
1632	4304	8875
1633	4306	8872
1634	4309	8868
1635	4311	8866
1636	4314	8862
1637	4316	8859
1638	4319	8857
1639	4321	8854
1640	4324	8851
1641	4326	8848
1642	4329	8845
1643	4331	8841
1644	4333	8839
1645	4336	8836
1646	4338	8833
1647	4341	8830
1648	4343	8827
1649	4346	8824
1650	4348	8821
1651	4351	8818
1652	4354	8816
1653	4356	8813
1654	4359	8810
1655	4361	8806
1656	4363	8803
1657	4366	8800
1658	4368	8798
1659	4371	8795
1660	4374	8793
1661	4376	8790
1662	4378	8786
1663	4381	8783
1664	4384	8781
1665	4387	8779
1666	4389	8776
1667	4392	8773
1668	4394	8770
1669	4396	8767
1670	4399	8765
1671	4402	8762
1672	4404	8759
1673	4407	8756
1674	4409	8753
1675	4411	8750
1676	4414	8746
1677	4417	8744
1678	4419	8742
1679	4422	8739
1680	4425	8737
1681	4427	8734
1682	4429	8730
1683	4433	8729
1684	4435	8726
1685	4437	8723
1686	4440	8719
1687	4442	8716
1688	4444	8713
1689	4447	8710
1690	4450	8708
1691	4452	8705
1692	4454	8702
1693	4457	8698
1694	4459	8696
1695	4462	8693
1696	4465	8690
1697	4467	8688
